time,150,300,750,1200,1850,2850,4300,6000,9000,12000,size_150,size_300,size_750,size_1200,size_1850,size_2850,size_4300,size_6000,size_9000,size_12000
35,2131.0813196999916,2184.061678600002,1959.56832098004,1758.4426355000014,2109.272130579968,2296.898230040002,2867.118003399961,2818.520961760006,13488.239188000003,11497.825105959999,71526,141640,312065,510551,698062,1091194,1556692,2316766,3557920,4407460
36,1920.7827884399885,1755.2229018199587,2129.449965439985,2064.354977779987,2598.632327219957,2799.214280220017,3289.748041560015,3102.568414660019,13448.187500500098,11432.225731660023,75107,147055,337352,514770,757219,1101375,1641051,2411201,3670698,4085968
37,1385.0615452400061,1603.3618101000047,1793.711063619995,1999.2667335000042,2083.195298739999,2290.8193207599943,2606.8972607200276,2874.588670579985,14777.257125680117,12872.125280399854,72771,146013,346434,533209,785741,1185751,1685606,2506078,3682953,4117428
38,1618.9265300400211,1364.3711284599503,1822.8775088999391,1626.5595911600067,2189.522242200009,2309.6690527799774,2718.031160060026,2660.2781085199495,14420.38201047997,11286.614889740029,75750,154703,337434,553912,797579,1153271,1625973,2414836,3600706,4202701
39,1287.5297517999797,1365.595922359993,1614.2433481399949,1717.4269675399873,1878.8116245000047,2025.5980311199855,2702.2034750999974,2552.3123855999474,13657.288343879998,12057.263381920027,71143,145513,337208,509213,752145,1133040,1586375,2231313,3195292,4463018
40,1612.1542148399703,1607.1021861999898,2039.2354160200193,1689.2902237999897,1898.0478665600504,2278.694282099995,2615.6534399599886,3287.1424444399845,12055.495527259958,10853.116801040003,74844,149063,327752,504619,744678,1150371,1702059,2443162,3700376,4618120
41,1480.0949976199563,1344.4102148400352,1798.195807439948,1683.922998399964,2058.4967135599954,2284.5707356399716,2448.4507505199563,2773.57275897999,14113.285010139858,10666.22580670003,75457,151109,352003,539353,811810,1230831,1857548,2616747,3922927,5068524
42,1493.5901577000077,1582.71577066002,1649.9561505199918,1771.4010461599983,1854.8037345199828,2358.3902099199795,2940.7391364400055,2747.1875409799923,12800.667953039982,10760.98391557999,72897,147603,366759,556659,840227,1273669,1865361,2591762,3933272,5013196
43,1489.7744913200004,1436.9066326999773,1745.9078476399773,1621.1546978599863,2037.5144132800096,2148.9908472000016,3774.4599096600014,2611.4718356999965,13879.171576240016,10766.545255280087,69876,137693,333769,531510,828252,1279565,1855570,2661210,4001563,4824746
44,1564.2318596600153,1607.4930030200194,1837.460416599958,2024.5791327599563,2622.5719129400113,2345.026094560015,2695.7081622399746,2816.535115900004,13772.909653260042,11601.601597619983,69721,135878,307091,491348,672082,1009628,1533777,2291321,3787227,4300090
45,0.0,18523466.574870657,1669.013111719979,2165.271816219989,362.26942063171373,2174.510741879997,2349.105885079982,0.0,14340021.933339942,2899.8874088399725,77548,149761,348425,565796,829987,1250320,1896316,2737123,4162817,5194721
